id,last_modified,code,name,description,poi_type,lat,lon,address_complete,related_url,contact_email,contact_phone
250,10/3/2023,,Antica Roma,Bar Pizzeria Pasticceria,"bar,ristorante",42.40932,13.06837,  Antrodoco 02013 Rieti ,,,+39 0746578340
251,10/3/2023,,Villa Enrica,Casa vacanze,locanda,42.40857,13.06989,Via San Severo 1 Antrodoco 02013 Rieti ,,,+39 3458729270
252,10/3/2023,,Comune di Borgovelino,Comune,amenity-townhall,42.40723,13.06264,Viale Aldo Moro  69 Borgovelino 02010 Rieti ,,,
253,10/3/2023,,Agriturismo Antichi Sapori,Agriturismo,b-and-b,42.40586,13.06574,  Borgovelino 02010 Rieti ,https://antichisaporiagriturismo.it,,+39 0746586027
254,10/3/2023,,Ufficio Postale Poste Italiane,Poste Italiane,post-office,42.40678,13.06176,Viale Aldo Moro  65 Borgovelino 02010 Rieti ,https://poste.it,,+39 0746578394
255,10/3/2023,,Chiesa di Santa Lucia,Chiesa Cattolica,religion,42.40671,13.06137,Viale Aldo Moro 63 Borgovelino 02010 Rieti ,,,
256,10/3/2023,,Farmacia Sciubba Belisario,Farmacia,"pharmacy,pharmacy",42.40690,13.06045,Via Martin Luther King  7 Borgovelino 02010 Rieti ,https://farmaciasciubba.it,,+39 0746578261
257,10/3/2023,,Vapoforno Nuria Soc. Cooperativa,Vapoforno,shop-convenience,42.40609,13.06013,Viale Aldo Moro  51 Borgovelino 02010 Rieti ,,,+39 0746586691
258,10/3/2023,,Agriturismo Il Gallo d'Oro,Agriturismo,b-and-b,42.40586,13.05957,Largo Giuseppe Garibaldi  2 Castel Sant'Angelo 02010 Rieti Ponte Basso,,,+39 3481492291
259,10/3/2023,,Comune di Borgovelino,Comune,amenity-townhall,42.40582,13.05908,Viale Aldo Moro 1 Borgovelino 02010 Rieti ,,,+39 0746578192
260,10/3/2023,,Torre Civica,Punto di riferimento storico,historical,42.40603,13.05868,Piazza Umberto I  16 Borgovelino 02010 Rieti ,,,
261,10/3/2023,,Sorsi e Morsi,Bistrò,bar,42.40602,13.05844,Piazza Umberto I  9 Borgovelino 02010 Rieti ,,,+39 3914187033
262,10/3/2023,,Il Castoro,Ristorante,ristorante,42.40468,13.05608,Via Gran Sasso  2 Borgovelino 02010 Rieti ,,,+39 0746578150
263,10/3/2023,,Lago di Paterno,Laghetto per pesca e balneazioni,water-lake,42.38236,13.01404,Via dei Laghi  Castel Sant'Angelo 02010 Rieti ,,,
264,10/3/2023,,Quikfriends' Bar,Bar Ristorante,"bar,ristorante",42.38070,13.01758,Via Salaria Statale  4 Castel Sant'Angelo 02010 Rieti Vasche,,,+39 3886189261
265,10/3/2023,,Stazione Ferroviaria Vasche ,Stazione Terni L'Aquila Sulmona,train-station,42.37948,13.01769,Via Salaria Statale  4 Castel Sant'Angelo 02010 Rieti Vasche,,,
266,10/3/2023,,Agriturismo S. Erasmo,Agriturismo,b-and-b,42.37837,13.01940,Via Sant'Erasmo 1 Castel Sant'Angelo 02010 Rieti Vasche,https://agriturismosanterasmo.it,,+39 3389692157
267,10/3/2023,,Ristorante Pizzeria Lago Argentato,Ristorante Pizzeria B&B,"b-and-b,ristorante",42.38014,13.00794,Via Salaria Statale 4 Castel Sant'Angelo 02010 Rieti ,https://lagoargentato.negocio.site,,+39 3245832692
268,10/3/2023,,"Hotel Ristorante ""I tre Orsacchiotti""",Hotel Ristorante,"hotel,ristorante",42.37710,13.00316,Via Salaria Statale 4 Castel Sant'Angelo 02010 Rieti Terme di Cotilia,,,+39 0746603109
269,10/3/2023,,Ristorante Pizzeria Terme di Cotilia,Ristorante Pizzeria B&B,"b-and-b,ristorante",42.37708,13.00011,Via Salaria Statale   4 Castel Sant'Angelo 02010 Rieti Terme di Cotilia,,,
270,10/3/2023,,Complesso Archeologico delle Terme di Tito,Complesso Archeologico Romano,"punctual-architectural-element,punctual-architectural-element",42.38528,13.01408,  Castel Sant'Angelo 02010 Rieti ,,,
271,10/3/2023,,San Giovanni Battista,Chiesa Cattolica,religion,42.38598,13.01048,Via Mar Rosso  5 Castel Sant'Angelo 02010 Rieti Paterno,,,
272,10/3/2023,,Terme di Vespasiano,Complesso Archeologico Romano,"punctual-architectural-element,punctual-architectural-element",42.37699,12.98403,Via Terme di Vespasiano  Cittaducale 02015 Rieti ,https://civitasducalis.altervista.org,,
273,10/3/2023,,Rovine della Chiesa di San Vittorino,Chiesa sotto cui scorre un torrente,religion,42.37630,12.98863,Via Salaria Statale  4 Cittaducale 02015 Rieti ,,,
274,10/3/2023,,Caffè Zero,Bar,bar,42.37735,12.97444,Via Salaria Statale 5 Cittaducale 02015 Rieti Caporio,https://caffezero.com,,+39 0746602167
275,10/3/2023,,Bar Roberto,Bar,bar,42.37806,12.97370,Via Salaria Statale 6 Cittaducale 02015 Rieti Caporio,,,
276,10/3/2023,,"Albergo Trattoria Bar ""Da Baffo""",Albergo Trattoria Bar,"hotel,ristorante,bar",42.37806,12.97297,Via Salaria Statale  5 Cittaducale 02015 Rieti Caporio,,,+39 3451623155
277,10/3/2023,,"Ristorante ""La Tagliata"" ",Ristorante,ristorante,42.38227,12.95877,Viale Duca degli Abruzzi 28 Cittaducale 02015 Rieti ,,,+39 3409842271
278,10/3/2023,,B&B Da Artù,B&B,b-and-b,42.38724,12.95685,Via Monviso 7 Cittaducale 02015 Rieti ,,,+39 3393647785
279,10/3/2023,,"Bar Pasticceria ""Il Ducale""",Bar Pasticceria,bar,42.38821,12.95355,Viale Duca degli Abruzzi 1 Cittaducale 02015 Rieti ,,,+39 0746605023
280,10/3/2023,,Torre Angioina,Torre e arco ingresso a Cittaducale,"punctual-architectural-element,punctual-architectural-element",42.38850,12.95207,Largo Fuori Porta Napoli 1 Cittaducale 02015 Rieti ,,,
281,10/3/2023,,Pizzeria La Torre,Pizzeria,ristorante,42.38827,12.95212,Corso Giuseppe Mazzini 1 Cittaducale 02015 Rieti ,,,+39 0746601140
282,10/3/2023,,Farmacia Domenici Francesca,Farmacia,"pharmacy,pharmacy",42.38847,12.95132,Via Duca Roberto 1 Cittaducale 02015 Rieti ,,,+39 0746602132
283,10/3/2023,,Pasta da Leoni,Ristorante Italiano,ristorante,42.38787,12.95084,Corso Giuseppe Mazzini  47 Cittaducale 02015 Rieti ,,,+39 3342829291
