id,last_modified,name,lat,lon,poi_type
215,06/11/2023,"Valico della Preta Perciata
",15.256326,40.3386032,natural-saddle
216,06/11/2023,PASSO DELLA SENTINELLA,15.418121,40.4194918,natural-saddle
217,06/11/2023,Passo della Bocchetta,8.8833333,44.55,natural-saddle
218,06/11/2023,Passo della Castagnola,8.8820722,44.6008446,natural-saddle
219,06/11/2023,Passo della Crocetta,9.2421211,44.384583,natural-saddle
220,06/11/2023,Valico del Pescino,9.4061677,44.5849763,natural-saddle
221,06/11/2023,Valico di San Fermo,9.103056,44.61,natural-saddle
222,06/11/2023,"sella di Leonessa
",13.0060822,42.4740342,natural-saddle
223,06/11/2023,passo della Torrita,13.2255759,42.6182381,natural-saddle
224,06/11/2023,"Portella Mandrazzi
",15.1381307,37.9756929,natural-saddle
225,06/11/2023,Passo di Llogara,19.5980085,40.1966103,natural-saddle
226,06/11/2023,"Passo croce vecchia
",11.5836836,43.7436697,natural-saddle
227,06/11/2023,"Passo Cavallo
",10.8612331,45.7127027,natural-saddle
228,06/11/2023,"Passo San Boldo
",12.1694813,46.0066503,natural-saddle
229,06/11/2023,"Punta veleno
",10.7951192,45.6962179,natural-saddle
230,06/11/2023,"Passo Campiano
",10.8233849,45.7637863,natural-saddle
231,06/11/2023,"Passo Pozza della Cola
",10.8958837,45.7586001,natural-saddle
232,06/11/2023,"Passo di san Valentino
",10.9124834,45.7832514,natural-saddle
233,06/11/2023,"Bocca del Creer
",10.8935902,45.7986356,natural-saddle
234,06/11/2023,"Bocca di Navene
",10.8728782,45.7881006,natural-saddle
235,06/11/2023,"Passo Cavallino della Fobbia
",10.5181288,45.7284322,natural-saddle
236,06/11/2023,"Passo del Limbara
",9.1030522,40.842653,natural-saddle
237,06/11/2023,"Valico di Carlomagno
",16.5371986,39.2687106,natural-saddle
238,06/11/2023,"Strada delle vette
",16.4580387,39.2802718,natural-saddle
239,06/11/2023,Valico di Montescuro,16.3989335,39.3352729,natural-saddle
240,06/11/2023,"Passo del Lume Spento
",11.4805315,43.0343853,natural-saddle
241,06/11/2023,"Sella Entrata
",15.8332004,38.1227068,natural-saddle
242,06/11/2023,"Passo di Petrulli
",15.7883148,38.1539952,natural-saddle
243,06/11/2023,Valico Nuraxi De Mesu,8.8098858,38.9462478,natural-saddle
244,06/11/2023,"S'Arcu de Genneruxi
",8.9027431,38.9238987,natural-saddle
245,06/11/2023,valico Gosparini,12.1085925400257,43.2350619156501,natural-saddle
246,06/11/2023,Passo Serra Sant'Antonio,13.368735909462,41.91858695302,natural-saddle
247,06/11/2023,Valico di Monte Bove,13.2016912847757,42.0702070369437,natural-saddle
248,06/11/2023,La Forca,13.249707184732,42.3014552484614,natural-saddle
249,06/11/2023,Forca di Arrone,12.7762563899159,42.5615867413282,natural-saddle
250,06/11/2023,Passo degli Acquiputoli,11.0349679738283,43.9991612733564,natural-saddle
251,06/11/2023,Passo del Tabernacolo,11.0783972963691,44.0776563429836,natural-saddle
252,06/11/2023,Valico la Sellata,15.7897041365504,40.5308233704482,natural-saddle
253,06/11/2023,"Valico della Somma
",12.734658,42.6665292,natural-saddle
254,06/11/2023,Vallefiorita,13.98839,41.6961492,natural-saddle
255,06/11/2023,Valico della Chiesola,13.3647666,42.2390569,natural-saddle
256,06/11/2023,"Valico di capo la Serra
",13.7456958,42.3797499,natural-saddle
257,06/11/2023,"Vado di Sole
",13.7877099,42.3959233,natural-saddle
258,06/11/2023,"Torre Forca di Penne
",13.8366686,42.2837889,natural-saddle
259,06/11/2023,"Passo di Bavella
",9.2244149,41.795892,natural-saddle
260,06/11/2023,"Punto 268Prato a Ceragiola
",10.54915,43.7365615,natural-saddle
261,06/11/2023,"Passo del Lucese
",10.382065,43.9365285,natural-saddle
262,06/11/2023,"Valico di Fontana a Taona
",10.9858402,44.0180986,natural-saddle
263,06/11/2023,"Valico della Collina
",11.720188,44.0750173,natural-saddle
264,06/11/2023,"Cona di Selvapiana
",13.1279666,41.5761724,natural-saddle
265,06/11/2023,"Passo della Quercia del Monaco
",13.4269155,41.3971854,natural-saddle
266,06/11/2023,"Passo san Nicola
",13.5232193,41.3492618,natural-saddle
267,06/11/2023,"Colle Cimetta
",13.2355583,41.8378081,natural-saddle
